"Category","Marker","Description","Source Instrument","Notes"
"Social Communication & Interaction","Joint Attention - Protodeclarative Pointing","Using index finger to point to share interest or indicate something, not to make a request","M-CHAT","Item 7: Does your child ever use his/her index finger to point, to indicate interest in something?"
"Social Communication & Interaction","Joint Attention - Following a Point","Looking at an object when another person points to it","M-CHAT","Item 15: If you point at a toy across the room, does your child look at it?"
"Social Communication & Interaction","Joint Attention - Showing","Bringing objects to a parent to show them","M-CHAT","Item 9: Does your child ever bring objects over to you (parent) to show you something?"
"Social Communication & Interaction","Response to Name","Orienting when name is called by a familiar person","M-CHAT","Item 14: Does your child respond to his/her name when you call?"
"Social Communication & Interaction","Social Referencing","Looking at a caregiver's face to check their reaction in a new or uncertain situation","M-CHAT","Item 23: Does your child look at your face to check your reaction when faced with something unfamiliar?"
"Social Communication & Interaction","Eye Contact","Amount and quality of eye-to-eye gaze during social interactions","ADOS-2","Coded in the Social Affect domain. A code of 2 or 3 indicates definite to marked abnormality"
"Social Communication & Interaction","Facial Expressions","Use of facial expressions to communicate and reciprocate social and emotional cues","ADOS-2","Coded in the Social Affect domain. Includes responsivity and range of expression"
"Social Communication & Interaction","Social Smiling","Smiling in response to the smile or face of another person","M-CHAT","Item 12: Does your child smile in response to your face or your smile?"
"Social Communication & Interaction","Interest in Other Children","Showing interest in, approaching, or attempting to interact with peers","M-CHAT","Item 2: Does your child take an interest in other children?"
"Social Communication & Interaction","Imitation","Imitating others' actions, sounds, or facial expressions","M-CHAT, ADOS-2","Item 13: Does your child imitate you? Coded in the Social Affect domain"
"Social Communication & Interaction","Shared Enjoyment","Seeking to share enjoyment, interest, or achievements with others","ADOS-2","Coded in the Social Affect domain. A code of 2 or 3 indicates a lack of sharing"
"Social Communication & Interaction","Quality of Social Overtures","Appropriateness and effectiveness of initiations of social interaction","ADOS-2","Coded in the Social Affect domain"
"Social Communication & Interaction","Quality of Social Response","Appropriateness and effectiveness of responses to the social initiations of others","ADOS-2","Coded in the Social Affect domain"
