Marker,Category,CanonicalDomain,DSM5_Tags,Description,Source Instrument,Notes
Joint Attention - Protodeclarative Pointing,Social Communication & Interaction,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']","Using index finger to point to share interest or indicate something, not to make a request",M-CHAT,"Item 7: Does your child ever use his/her index finger to point, to indicate interest in something?"
Joint Attention - Following a Point,Social Communication & Interaction,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']",Looking at an object when another person points to it,M-CHAT,"Item 15: If you point at a toy across the room, does your child look at it?"
Joint Attention - Showing,Social Communication & Interaction,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']",Bringing objects to a parent to show them,M-CHAT,Item 9: Does your child ever bring objects over to you (parent) to show you something?
Response to Name,Social Communication & Interaction,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']",Orienting when name is called by a familiar person,M-CHAT,Item 14: Does your child respond to his/her name when you call?
Social Referencing,Social Communication & Interaction,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']",Looking at a caregiver's face to check their reaction in a new or uncertain situation,M-CHAT,Item 23: Does your child look at your face to check your reaction when faced with something unfamiliar?
Eye Contact,Social Communication & Interaction,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']",Amount and quality of eye-to-eye gaze during social interactions,ADOS-2,Coded in the Social Affect domain. A code of 2 or 3 indicates definite to marked abnormality
Facial Expressions,Social Communication & Interaction,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']",Use of facial expressions to communicate and reciprocate social and emotional cues,ADOS-2,Coded in the Social Affect domain. Includes responsivity and range of expression
Social Smiling,Social Communication & Interaction,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']",Smiling in response to the smile or face of another person,M-CHAT,Item 12: Does your child smile in response to your face or your smile?
Interest in Other Children,Social Communication & Interaction,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']","Showing interest in, approaching, or attempting to interact with peers",M-CHAT,Item 2: Does your child take an interest in other children?
Imitation,Social Communication & Interaction,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']","Imitating others' actions, sounds, or facial expressions","M-CHAT, ADOS-2",Item 13: Does your child imitate you? Coded in the Social Affect domain
Shared Enjoyment,Social Communication & Interaction,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']","Seeking to share enjoyment, interest, or achievements with others",ADOS-2,Coded in the Social Affect domain. A code of 2 or 3 indicates a lack of sharing
Quality of Social Overtures,Social Communication & Interaction,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']",Appropriateness and effectiveness of initiations of social interaction,ADOS-2,Coded in the Social Affect domain
Quality of Social Response,Social Communication & Interaction,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']",Appropriateness and effectiveness of responses to the social initiations of others,ADOS-2,Coded in the Social Affect domain
Reduced Orienting to Name,Early Social Attention,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']",Consistently failing to turn or look when name is called by a familiar person,Clinical Observation,Identified in research as a robust early marker between 12-24 months. Differentiates ASD from TD and sometimes other DDs
Reduced Monitoring of Social Scenes,Early Social Attention,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']",Decreased visual attention to people and social interactions compared to objects or geometric patterns,Eye-Tracking Studies,Cited in research. Toddlers with ASD show reduced attention to social scenes even with explicit cues
Decline in Eye Region Orienting,Early Social Attention,Social_Communication_Interaction,"['A1_social_emotional_reciprocity', 'A2_nonverbal_communication', 'A3_relationships']",A reduction over time (2-6 months) in looking at the eye region of faces,Eye-Tracking Studies,From landmark study. An early emerging potential marker
